,prediction_id,truth_id,IoU,match
621,621,80,0.6046767986713494,True
442,442,81,0.0,False
16,16,82,0.009247426359478474,False
136,136,83,0.7405523336686505,True
257,257,84,0.48525419310321954,True
783,783,85,0.6089760548619949,True
101,101,86,0.0,False
43,43,87,0.5201370779566717,True
667,667,88,0.3313611814228737,True
204,204,89,0.714622630072033,True
97,97,90,0.0,False
294,294,91,0.236791821022868,False
340,340,92,0.45012735056920666,True
195,195,93,0.40247341513231216,True
118,118,94,0.5092482526130283,True
546,546,95,0.3911933819411395,True
222,222,96,0.3502105384477555,True
419,419,97,0.2971010518442039,True
12,12,98,0.5379606420184737,True
206,206,99,0.5764193217463315,True
207,207,100,0.23723406549097992,False
361,361,101,0.2624160287844239,True
219,219,102,0.4957726026315529,True
285,285,103,0.2512754339079517,True
594,594,104,0.458768125284406,True
20,20,105,0.0,False
233,233,106,0.5311055138594484,True
98,98,107,0.6510246357230499,True
564,564,108,0.25242811346093436,True
270,270,109,0.0,False
507,507,110,0.603624295007459,True
486,486,111,0.0,False
722,722,112,0.5641906942283861,True
311,311,113,0.6999184609799631,True
255,255,114,0.0,False
74,74,115,0.528892833646335,True
232,232,116,0.5003331328213017,True
440,440,117,0.47594547345449556,True
363,363,118,0.3631457792643213,True
463,463,119,0.16781555398241205,False
296,296,120,0.3840945814575994,True
549,549,121,0.6339910250373969,True
468,468,122,0.3155181284095263,True
748,748,123,0.4743605927044275,True
23,23,124,0.0,False
612,612,125,0.48193293141413174,True
161,161,126,0.6746982585544524,True
530,530,127,0.07637233944010036,False
562,562,128,0.5814880888189539,True
34,34,129,0.0,False
426,426,130,0.6817592732176737,True
850,850,131,0.546562428283191,True
487,487,132,0.5242506910003244,True
194,194,133,0.7001585702264397,True
39,39,134,0.0,False
144,144,135,0.0,False
533,533,136,0.0,False
396,396,137,0.6545662994078948,True
390,390,138,0.6746982583931599,True
384,384,139,0.1943796030641055,False
62,62,140,0.0,False
358,358,141,0.22368560673525711,False
69,69,142,0.0,False
272,272,143,0.7008798870979197,True
